Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
AASIA (7054),MAIN,ASTRAL ASIA BERHAD,Plantation ,79.20m,0.12,-,0.00,-5.52
AAX (5238),MAIN,AIRASIA X BERHAD,"Travel, Leisure & Hospitality ",599.08m,1.34,1.63,0.00,282.66
ABFMY1 (0800EA),ETF,ABF MALAYSIA BOND INDEX FUND,Bond Fund ,1.764b,1.23,-,0.37,-
ABLEGLOB (7167),MAIN,ABLE GLOBAL BERHAD,Food & Beverages ,543.32m,1.75,10.45,3.71,11.71
ABLEGRP (7086),MAIN,ABLEGROUP BERHAD,Building Materials ,29.03m,0.11,47.83,0.00,1.44
ABMB (2488),MAIN,ALLIANCE BANK MALAYSIA BERHAD,Banking ,5.728b,3.70,8.91,5.95,9.21
ACME (7131),MAIN,ACME HOLDINGS BERHAD,Property ,71.67m,0.20,13.64,0.00,4.61
ACO (0218),ACE,ACO GROUP BERHAD,Industrial Services ,81.63m,0.24,29.75,0.85,3.04
ADB (0276),ACE,AUTOCOUNT DOTCOM BERHAD,Software ,511.97m,0.93,40.79,2.15,22.80
ADVCON (5281),MAIN,ADVANCECON HOLDINGS BERHAD,Construction ,157.88m,0.27,-,0.00,-18.65
ADVENTA (7191),MAIN,ADVENTA BERHAD,Health Care Equipment & Services ,84.03m,0.28,-,0.00,-9.57
AEM (7146),MAIN,AE MULTI HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",28.13m,0.13,-,0.00,-322.67
AEMULUS (0181),ACE,AEMULUS HOLDINGS BERHAD,Technology Equipment ,251.29m,0.38,-,0.00,-39.90
AEON (6599),MAIN,AEON CO. (M) BHD,Retailers ,1.544b,1.10,13.45,3.64,6.18
AEONCR (5139),MAIN,AEON CREDIT SERVICE (M) BERHAD,Other Financials ,3.304b,6.47,8.25,7.65,15.94
AFFIN (5185),MAIN,AFFIN BANK BERHAD,Banking ,5.960b,2.54,14.82,4.84,3.62
AFUJIYA (5198),MAIN,ABM FUJIYA BERHAD,Auto Parts ,64.80m,0.36,-,0.00,-10.00
AGES (7145),MAIN,AGESON BERHAD,Construction ,23.37m,0.08,-,0.00,-
AGMO (0258),ACE,AGMO HOLDINGS BERHAD,Software ,154.38m,0.48,26.69,0.00,13.09
AGX (0299),ACE,AGX GROUP BERHAD,Transportation & Logistics Services ,132.02m,0.31,-,0.00,-
AHB (7315),MAIN,AHB HOLDINGS BERHAD,Consumer Services ,90.12m,0.13,-,0.00,-
AHEALTH (7090),MAIN,APEX HEALTHCARE BERHAD,Pharmaceuticals ,2.192b,3.05,5.51,1.64,42.93
AIM (0122),ACE,ADVANCE INFORMATION MARKETING BERHAD,Industrial Services ,27.32m,0.07,-,0.00,-12.73
AIMFLEX (0209),ACE,AIMFLEX BERHAD,Technology Equipment ,235.64m,0.16,25.81,0.00,6.89
AIRPORT (5014),MAIN,MALAYSIA AIRPORTS HOLDINGS BERHAD,Transportation & Logistics Services ,16.185b,9.70,29.80,1.11,6.77
AJI (2658),MAIN,AJINOMOTO (MALAYSIA) BERHAD,Food & Beverages ,1.172b,19.28,19.44,0.47,10.76
AJIYA (7609),MAIN,AJIYA BERHAD,Building Materials ,487.34m,1.60,8.83,0.00,11.26
ALAM (5115),MAIN,ALAM MARITIM RESOURCES BERHAD,"Energy Infrastructure, Equipment & Services ",38.30m,0.03,2.58,0.00,-
ALAQAR (5116),MAIN,AL-`AQAR HEALTHCARE REIT,Real Estate Investment Trusts ,1.066b,1.27,17.57,6.22,5.66
ALCOM (2674),MAIN,ALCOM GROUP BERHAD,Metals ,112.17m,0.84,6.99,2.99,6.60
ALLIANZ (1163),MAIN,ALLIANZ MALAYSIA BERHAD,Insurance ,3.552b,19.96,4.86,5.04,14.22
ALPHA (0303),ACE,ALPHA IVF GROUP BERHAD,Health Care Providers ,1.604b,0.33,-,0.00,-
ALRICH (0079),ACE,ALDRICH RESOURCES BERHAD,Software ,38.97m,0.04,-,0.00,-5.00
ALSREIT (5269),MAIN,AL-SALAM REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,249.40m,0.43,11.50,2.79,3.35
AMBANK (1015),MAIN,AMMB HOLDINGS BERHAD,Banking ,13.986b,4.22,7.69,4.34,9.48
AME (5293),MAIN,AME ELITE CONSORTIUM BERHAD,Construction ,1.121b,1.75,10.25,2.29,12.64
AMEDIA (0159),MAIN,ASIA MEDIA GROUP BERHAD,Media ,32.69m,0.11,18.10,0.00,13.81
AMEREIT (5307),MAIN,AME REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,729.45m,1.39,10.35,3.94,12.52
AMFIRST (5120),MAIN,AMFIRST REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,223.08m,0.33,16.58,8.31,1.69
AMLEX (03011),LEAP,AMLEX HOLDINGS BERHAD,Semiconductors ,115.29m,0.43,-,0.00,-
AMTEL (7031),MAIN,AMTEL HOLDINGS BERHAD,Telecommunications Equipment ,60.45m,0.62,10.98,0.00,7.45
